City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Majagual,CO,77.86,broken clouds,8.5389,-74.6204,Achi bolivar
626,Kulhudhuffushi,MV,81.55,scattered clouds,6.6221,73.07,Haajy Guest House 1
627,Dalby,AU,87.8,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
632,Nambucca Heads,AU,80.01,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
635,Mareeba,AU,90.0,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
643,Tarakan,ID,86.0,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
646,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
649,Manicore,BR,75.0,overcast clouds,-5.8092,-61.3003,Hotel Durval
652,Upata,VE,77.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
654,Mahibadhoo,MV,81.55,scattered clouds,3.7833,72.9667,Omadhoo Inn
658,Farafangana,MG,79.93,few clouds,-22.8167,47.8333,Miarina
661,Balabac,PH,82.67,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
662,Daru,PG,89.24,broken clouds,-9.0763,143.2092,Daru Lodge
667,Pasuquin,PH,89.6,scattered clouds,18.3328,120.6177,Orchard Resort Hotel And Restaurant
676,Axim,GH,79.63,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
677,Panikihan,PH,84.45,broken clouds,13.9028,122.1347,NOA HOTEL RESORT & RESTO
678,Isla Mujeres,MX,79.0,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
681,Cessnock,AU,80.01,broken clouds,-32.8333,151.35,The Mighty Hunter Valley
689,Clarence Town,AU,80.01,scattered clouds,-32.5833,151.7833,River Downs Cottage
691,Maragogi,BR,76.64,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
692,Mahajanga,MG,75.2,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
