City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,San Juan,AR,-31.5375,-68.5364,79.36,38,92,24.94,overcast clouds
197,Labuhan,ID,-6.8844,112.2051,83.26,79,73,16.11,broken clouds
198,Acapulco,MX,16.8634,-99.8901,80.6,74,20,9.22,few clouds
199,Hofn,IS,64.2539,-15.2082,37.31,82,100,15.23,overcast clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,66.2,63,40,8.05,scattered clouds
201,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.46,42,3,3.2,clear sky
202,Port-Gentil,GA,-0.7193,8.7815,81.32,80,100,8.01,light rain
203,Fundao,BR,-19.9341,-40.4047,70.0,94,90,3.44,mist
204,Jamiltepec,MX,16.2833,-97.8167,68.54,91,9,2.51,clear sky
205,Ponta Delgada,PT,37.7333,-25.6667,57.2,77,20,17.27,few clouds
206,Saint-Georges,GD,12.0564,-61.7485,78.06,75,14,17.81,few clouds
207,Epinal,FR,48.1833,6.45,32.0,93,84,9.22,light snow
208,Viedma,AR,-40.8135,-62.9967,51.01,81,84,8.81,broken clouds
209,Zhigansk,RU,66.7697,123.3711,-24.41,81,0,7.27,clear sky
210,Rio Cuarto,AR,-33.1307,-64.3499,66.0,92,0,5.99,clear sky
211,Heinola,FI,61.2056,26.0381,12.2,85,75,6.91,broken clouds
212,Groningen,NL,53.25,6.75,25.0,74,75,20.71,broken clouds
213,Qatana,SY,33.4354,36.0815,52.0,93,30,2.19,fog
214,Pueblo Bello,CO,8.2041,-76.526,74.64,94,100,2.24,overcast clouds
215,Omsukchan,RU,62.5333,155.8,6.31,89,100,14.67,overcast clouds
216,Kavaratti,IN,10.5669,72.642,81.84,65,98,9.13,overcast clouds
217,Alofi,NU,-19.0595,-169.9187,86.0,70,75,10.36,broken clouds
218,Nouakchott,MR,18.0858,-15.9785,59.0,33,0,9.22,clear sky
219,Maldaresti,RO,45.1167,24.0,40.86,82,83,1.19,broken clouds
220,Kimbe,PG,-5.5502,150.1429,84.11,71,70,5.86,moderate rain
221,High Level,CA,58.5169,-117.136,-18.4,76,1,12.66,clear sky
222,Kununurra,AU,-15.7667,128.7333,93.2,62,44,11.5,scattered clouds
223,Longyearbyen,SJ,78.2186,15.6401,15.8,41,0,16.11,clear sky
224,Mehamn,NO,71.0357,27.8492,23.0,86,75,31.07,light snow
225,Ocampo,MX,21.65,-101.5,57.36,37,40,8.41,scattered clouds
226,Outjo,NA,-20.1167,16.15,67.59,44,100,4.97,overcast clouds
227,Beira,MZ,-19.8436,34.8389,76.87,89,49,5.79,scattered clouds
228,Perene,PE,-10.9492,-75.2261,71.13,78,100,1.66,overcast clouds
229,Paptalaya,HN,15.5,-84.3167,72.99,92,0,2.73,clear sky
230,Vilhena,BR,-12.7406,-60.1458,68.9,97,98,3.04,overcast clouds
231,Dicabisagan,PH,17.0818,122.4157,81.3,68,4,6.22,clear sky
232,Salym,RU,60.0625,71.4789,-2.24,90,100,11.01,overcast clouds
233,Harper,LR,4.375,-7.7169,78.67,90,39,5.08,scattered clouds
234,Fairbanks,US,64.8378,-147.7164,-20.0,76,1,4.36,clear sky
235,Bambanglipuro,ID,-7.95,110.2833,85.19,69,92,5.61,overcast clouds
236,Bonthe,SL,7.5264,-12.505,77.77,84,68,1.88,broken clouds
237,Cap Malheureux,MU,-19.9842,57.6142,82.99,72,2,8.99,clear sky
238,Qasigiannguit,GL,68.8193,-51.1922,21.2,38,0,25.32,light snow
239,Soledade,BR,-28.8183,-52.5103,58.14,94,0,6.02,clear sky
240,Mgandu,TZ,-5.95,34.1333,62.55,100,100,2.04,moderate rain
241,Hami,CN,42.8,93.45,41.09,52,58,3.04,broken clouds
242,Ahipara,NZ,-35.1667,173.1667,72.59,59,72,9.13,broken clouds
243,Kendari,ID,-3.945,122.4989,90.54,54,62,2.55,broken clouds
244,Lebu,CL,-37.6167,-73.65,58.3,93,95,3.56,overcast clouds
