City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Sinnamary,GF,2021-02-07 20:20:19,5.3833,-52.95,78.48,85,100,14.25
134,Bakchar,RU,2021-02-07 20:20:19,57.0186,82.0711,12.07,94,100,12.77
135,Malinovoye Ozero,RU,2021-02-07 20:20:19,51.6753,79.7825,17.26,93,1,9.53
136,Alghero,IT,2021-02-07 20:20:19,40.5589,8.3181,53.6,76,40,5.75
137,Port Lincoln,AU,2021-02-07 20:20:20,-34.7333,135.8667,59.36,79,73,15.39
138,Susanville,US,2021-02-07 20:20:20,40.4163,-120.653,48.99,42,1,1.25
139,Port Macquarie,AU,2021-02-07 20:20:20,-31.4333,152.9167,68.0,95,100,1.99
140,Borogontsy,RU,2021-02-07 20:20:20,62.6683,131.1683,-35.77,81,0,2.57
141,Auki,SB,2021-02-07 20:20:20,-8.7676,160.7034,78.78,84,10,5.48
142,Mount Isa,AU,2021-02-07 20:20:20,-20.7333,139.5,77.0,100,99,5.75
143,Teknaf,BD,2021-02-07 20:20:20,20.8624,92.3058,67.28,54,0,13.98
144,Mahebourg,MU,2021-02-07 20:20:20,-20.4081,57.7,80.6,78,75,9.22
145,Saldanha,ZA,2021-02-07 20:20:21,-33.0117,17.9442,64.4,68,0,14.97
146,Lavrentiya,RU,2021-02-07 20:17:54,65.5833,-171.0,-11.47,84,0,6.46
147,Grand Gaube,MU,2021-02-07 20:20:21,-20.0064,57.6608,81.0,79,24,3.0
148,Avarua,CK,2021-02-07 20:20:21,-21.2078,-159.775,84.2,74,20,13.8
149,Monrovia,LR,2021-02-07 20:15:33,6.3005,-10.7969,80.6,83,20,10.56
150,Bonfim,BR,2021-02-07 20:20:21,3.0833,-59.95,93.6,40,69,6.8
151,Beringovskiy,RU,2021-02-07 20:18:28,63.05,179.3167,-0.58,88,100,14.03
152,Raymondville,US,2021-02-07 20:20:21,26.4815,-97.7831,79.0,33,1,12.66
153,Aksu,CN,2021-02-07 20:20:21,41.1231,80.2644,29.43,82,98,0.98
154,Esperance,AU,2021-02-07 20:19:02,-33.8667,121.9,62.6,88,75,13.8
155,Luau,AO,2021-02-07 20:20:22,-10.7073,22.2247,67.26,96,100,5.88
156,Paamiut,GL,2021-02-07 20:20:22,61.994,-49.6678,29.12,85,50,8.16
157,Marau,BR,2021-02-07 20:20:22,-28.4492,-52.2,78.69,61,0,3.2
158,Catalina,US,2021-02-07 20:20:22,32.5056,-110.9211,72.0,9,0,1.01
159,Khatanga,RU,2021-02-07 20:17:47,71.9667,102.5,-30.68,79,0,10.16
160,Zhezkazgan,KZ,2021-02-07 20:20:22,47.8043,67.7144,30.0,98,100,23.33
161,Santa Fe,AR,2021-02-07 20:20:22,-31.6333,-60.7,91.99,31,0,8.99
162,Sao Filipe,CV,2021-02-07 20:20:22,14.8961,-24.4956,70.39,72,100,12.35
163,Tahta,EG,2021-02-07 20:20:22,26.7693,31.5021,62.6,51,0,3.44
164,Port-Gentil,GA,2021-02-07 20:20:23,-0.7193,8.7815,78.8,94,40,2.3
165,Nantucket,US,2021-02-07 20:20:23,41.2835,-70.0995,34.0,100,90,26.46
166,Leningradskiy,RU,2021-02-07 20:20:23,69.3833,178.4167,-14.24,81,0,6.73
167,Onguday,RU,2021-02-07 20:20:23,50.75,86.15,20.43,88,55,4.85
168,Cururupu,BR,2021-02-07 20:20:23,-1.8283,-44.8683,83.93,69,5,5.93
169,Ontario,US,2021-02-07 20:20:23,34.0633,-117.6509,73.0,30,1,4.61
170,Abashiri,JP,2021-02-07 20:20:23,44.0213,144.2697,2.97,91,3,6.38
171,Port Alfred,ZA,2021-02-07 20:17:27,-33.5906,26.891,66.99,95,98,6.89
172,Acapulco,MX,2021-02-07 20:20:24,16.8634,-99.8901,86.0,62,20,9.22
173,Natal,BR,2021-02-07 20:20:24,-5.795,-35.2094,86.0,66,40,14.97
174,Narasannapeta,IN,2021-02-07 20:20:24,18.4167,84.05,67.35,83,0,4.61
175,Boa Vista,BR,2021-02-07 20:20:24,2.8197,-60.6733,84.2,65,90,14.97
176,Lagoa,PT,2021-02-07 20:20:24,39.05,-27.9833,57.92,74,100,19.51
177,Souillac,MU,2021-02-07 20:20:24,-20.5167,57.5167,80.6,78,75,9.22
178,Kashi,CN,2021-02-07 20:20:24,39.4547,75.9797,35.6,51,50,8.95
179,Alice Springs,AU,2021-02-07 20:20:25,-23.7,133.8833,75.0,33,38,6.91
180,Vieira De Leiria,PT,2021-02-07 20:20:25,39.8695,-8.9324,55.99,94,75,13.8
181,Point Pedro,LK,2021-02-07 20:20:25,9.8167,80.2333,77.9,72,17,17.63
182,Kabompo,ZM,2021-02-07 20:20:25,-13.5927,24.2008,67.55,92,100,3.56
183,Kalawit,PH,2021-02-07 20:20:25,8.0667,122.5167,77.67,86,100,10.25
184,Indramayu,ID,2021-02-07 20:20:25,-6.3264,108.32,78.75,86,100,15.19
185,Ardakan,IR,2021-02-07 20:20:25,32.31,54.0175,48.2,81,40,2.3
186,Lorengau,PG,2021-02-07 20:20:26,-2.0226,147.2712,81.9,78,100,6.76
187,Nyurba,RU,2021-02-07 20:20:26,63.2842,118.3319,-2.69,90,100,6.29
188,Torbay,CA,2021-02-07 20:20:26,47.6666,-52.7314,32.0,64,20,26.46
189,Thompson,CA,2021-02-07 20:20:26,55.7435,-97.8558,-27.4,68,75,14.97
190,Sitka,US,2021-02-07 20:20:26,57.0531,-135.33,33.8,47,1,5.75
191,Vanavara,RU,2021-02-07 20:20:26,60.34,102.2797,26.82,98,100,8.21
192,Erenhot,CN,2021-02-07 20:20:26,43.6475,111.9767,7.59,87,0,4.85
193,Aanekoski,FI,2021-02-07 20:20:27,62.6946,25.818,17.6,86,90,5.75
194,Kupang,ID,2021-02-07 20:20:27,-10.1667,123.5833,79.63,82,100,9.24
195,Caldwell,US,2021-02-07 20:20:27,43.6629,-116.6874,46.99,34,1,16.11
196,Aldan,RU,2021-02-07 20:20:27,58.6031,125.3894,-19.88,81,0,3.91
197,Kruisfontein,ZA,2021-02-07 20:17:25,-34.0033,24.7314,64.99,89,97,1.99
198,Cidreira,BR,2021-02-07 20:20:11,-30.1811,-50.2056,75.25,64,0,10.25
199,Yar-Sale,RU,2021-02-07 20:20:27,66.8333,70.8333,-11.29,90,100,24.52
200,Georgetown,MY,2021-02-07 20:20:27,5.4112,100.3354,80.6,83,20,3.44
201,Arraial Do Cabo,BR,2021-02-07 20:16:43,-22.9661,-42.0278,73.4,88,75,4.61
202,Pitsunda,GE,2021-02-07 20:20:28,43.1592,40.3378,46.4,81,90,6.71
203,East London,ZA,2021-02-07 20:19:37,-33.0153,27.9116,72.52,78,100,6.85
204,Wellington,NZ,2021-02-07 20:20:28,-41.2866,174.7756,66.0,82,75,20.71
205,Nakamura,JP,2021-02-07 20:20:28,32.9833,132.9333,42.71,80,0,5.1
206,Chiredzi,ZW,2021-02-07 20:20:28,-21.05,31.6667,74.16,65,78,3.49
207,San Patricio,US,2021-02-07 20:20:28,28.017,-97.5169,73.0,40,20,14.97
208,Bathsheba,BB,2021-02-07 20:20:28,13.2167,-59.5167,82.4,57,75,24.16
209,Oistins,BB,2021-02-07 20:19:40,13.0667,-59.5333,82.4,57,75,24.16
210,Emet,TR,2021-02-07 20:20:28,39.343,29.2585,47.52,53,97,7.45
211,San Juan,AR,2021-02-07 20:20:02,-31.5375,-68.5364,96.44,19,5,18.19
212,Ossora,RU,2021-02-07 20:20:29,59.2353,163.0719,21.04,96,100,37.8
213,Santa Helena De Goias,BR,2021-02-07 20:20:29,-17.8136,-50.5969,79.34,71,49,5.77
